Datetime,12 Hours before,11 Hours before,10 Hours before,9 Hours before,8 Hours before,7 Hours before,6 Hours before,5 Hours before,4 Hours before,3 Hours before,2 Hours before,1 Hours before
2024-12-30 12:00,5.722 92.0 0.0,6.1219997 91.0 0.0,6.1219997 92.0 0.0,6.1219997 92.0 0.0,6.1219997 92.0 0.0,6.1219997 92.0 0.0,6.1219997 92.0 0.0,6.1219997 92.0 0.0,6.1219997 92.0 0.0,6.1219997 92.0 0.0,6.1219997 92.0 0.0,6.1219997 92.0 0.0
2024-12-30 13:00,5.822 91.0 0.0,6.472 89.0 0.0,6.322 90.0 0.0,6.322 90.0 0.0,6.322 90.0 0.0,6.322 90.0 0.0,6.322 90.0 0.0,6.322 90.0 0.0,6.322 90.0 0.0,6.322 90.0 0.0,6.322 90.0 0.0,6.322 90.0 0.0
2024-12-30 14:00,6.322 90.0 0.0,6.472 88.0 0.0,6.1219997 90.0 0.0,6.1219997 90.0 0.0,6.1219997 90.0 0.0,6.1219997 90.0 0.0,6.1219997 90.0 0.0,6.1219997 90.0 0.0,6.1219997 90.0 0.0,6.1219997 90.0 0.0,6.1219997 90.0 0.0,6.1219997 90.0 0.0
2024-12-30 15:00,5.572 93.0 0.0,6.272 89.0 0.0,6.422 90.0 0.0,6.422 90.0 0.0,6.422 90.0 0.0,6.422 90.0 0.0,6.422 90.0 0.0,6.422 90.0 0.0,6.422 90.0 0.0,6.422 90.0 0.0,6.422 90.0 0.0,6.422 90.0 0.0
2024-12-30 16:00,5.822 91.0 0.0,6.172 90.0 0.0,6.272 89.0 0.0,6.272 89.0 0.0,6.272 89.0 0.0,6.272 89.0 0.0,6.272 89.0 0.0,6.272 89.0 0.0,6.272 89.0 0.0,6.272 89.0 0.0,6.272 89.0 0.0,6.272 89.0 0.0
2024-12-30 17:00,6.072 91.0 0.0,6.172 88.0 0.0,6.222 91.0 0.0,6.222 91.0 0.0,6.222 91.0 0.0,6.222 91.0 0.0,6.222 91.0 0.0,6.222 91.0 0.0,6.222 91.0 0.0,6.222 91.0 0.0,6.222 91.0 0.0,6.222 91.0 0.0
2024-12-30 18:00,6.222 91.0 0.0,6.172 89.0 0.0,6.572 88.0 0.0,6.572 88.0 0.0,6.572 88.0 0.0,6.572 88.0 0.0,6.572 88.0 0.0,6.572 88.0 0.0,6.572 88.0 0.0,6.572 88.0 0.0,6.572 88.0 0.0,6.572 88.0 0.0
2024-12-30 19:00,5.922 92.0 0.0,6.022 90.0 0.0,6.572 88.0 0.0,6.322 88.0 0.0,6.322 88.0 0.0,6.322 88.0 0.0,6.322 88.0 0.0,6.322 88.0 0.0,6.322 88.0 0.0,6.322 88.0 0.0,6.322 88.0 0.0,6.322 88.0 0.0
2024-12-30 20:00,5.972 90.0 0.0,6.322 89.0 0.0,6.322 88.0 0.0,6.022 89.0 0.0,6.022 89.0 0.0,6.022 89.0 0.0,6.022 89.0 0.0,6.022 89.0 0.0,6.022 89.0 0.0,6.022 89.0 0.0,6.022 89.0 0.0,6.022 89.0 0.0
2024-12-30 21:00,5.822 90.0 0.0,6.472 88.0 0.0,6.322 90.0 0.0,6.472 88.0 0.0,6.472 88.0 0.0,6.472 88.0 0.0,6.472 88.0 0.0,6.472 88.0 0.0,6.472 88.0 0.0,6.472 88.0 0.0,6.472 88.0 0.0,6.472 88.0 0.0
2024-12-30 22:00,5.822 91.0 0.0,6.3719997 89.0 0.0,6.3719997 89.0 0.0,6.472 89.0 0.0,6.472 89.0 0.0,6.472 89.0 0.0,6.472 89.0 0.0,6.472 89.0 0.0,6.472 89.0 0.0,6.472 89.0 0.0,6.472 89.0 0.0,6.472 89.0 0.0
2024-12-30 23:00,5.972 90.0 0.0,6.472 89.0 0.0,6.322 90.0 0.0,6.322 89.0 0.0,6.322 89.0 0.0,6.322 89.0 0.0,6.322 89.0 0.0,6.322 89.0 0.0,6.322 89.0 0.0,6.322 89.0 0.0,6.322 89.0 0.0,6.322 89.0 0.0
2024-12-31 00:00,5.8719997 91.0 0.0,6.422 90.0 0.0,6.422 90.0 0.0,6.422 90.0 0.0,6.422 90.0 0.0,6.422 90.0 0.0,6.422 90.0 0.0,6.422 90.0 0.0,6.422 90.0 0.0,6.422 90.0 0.0,6.422 90.0 0.0,6.422 90.0 0.0
2024-12-31 01:00,5.472 93.0 0.0,6.3719997 90.0 0.0,6.3719997 90.0 0.0,6.3719997 90.0 0.0,6.3719997 90.0 0.0,6.3719997 90.0 0.0,6.3719997 90.0 0.0,6.3719997 90.0 0.0,6.3719997 90.0 0.0,6.3719997 90.0 0.0,6.3719997 90.0 0.0,6.3719997 90.0 0.0
2024-12-31 02:00,5.172 93.0 0.0,6.1219997 90.0 0.0,6.1219997 90.0 0.0,6.1219997 90.0 0.0,6.1219997 90.0 0.0,6.1219997 90.0 0.0,6.1219997 90.0 0.0,6.1219997 90.0 0.0,6.1219997 90.0 0.0,6.1219997 90.0 0.0,6.1219997 90.0 0.0,6.1219997 90.0 0.0
2024-12-31 03:00,4.572 94.0 0.0,5.922 91.0 0.0,5.922 91.0 0.0,5.922 91.0 0.0,5.922 91.0 0.0,5.922 91.0 0.0,5.922 91.0 0.0,5.922 91.0 0.0,5.922 91.0 0.0,5.922 91.0 0.0,5.922 91.0 0.0,5.922 91.0 0.0
